id,name,amount,region,event_date,remark
1,异常-001,10,华南,2025-03-02,
2,异常-002,20,华北,2025-03-03,
3,异常-003,30,西南,2025-03-04,
4,异常-004,40,,2025-03-05,
5,异常-005,,华南,2025-03-06,
6,异常-006,60,华北,,
7,异常-007,bad,西南,2025-03-08,类型混合
8,异常-008,80,,2025-03-09,
9,异常-009,90,华南,2025-03-10,
10,异常-010,,华北,2025-03-11,
11,异常-011,110,西南,2025-03-12,
12,异常-012,120,,,
13,异常-013,130,华南,2025-03-14,
14,异常-014,bad,华北,2025-03-15,类型混合
15,异常-015,,西南,2025-03-16,
16,异常-016,160,,2025-03-17,
17,异常-017,170,华南,2025-03-18,
18,异常-018,180,华北,,
19,异常-019,190,西南,2025-03-20,
20,异常-020,,,2025-03-21,
21,异常-021,bad,华南,2025-03-22,类型混合
22,异常-022,220,华北,2025-03-23,
23,异常-023,230,西南,2025-03-24,
24,异常-024,240,,,
25,异常-025,,华南,2025-03-26,
26,异常-026,260,华北,2025-03-27,
27,异常-027,270,西南,2025-03-28,
28,异常-028,bad,,2025-03-29,类型混合
29,异常-029,290,华南,2025-03-30,
30,异常-030,,华北,,
31,异常-031,310,西南,2025-04-01,
32,异常-032,320,,2025-04-02,
33,异常-033,330,华南,2025-04-03,
34,异常-034,340,华北,2025-04-04,
35,异常-035,bad,西南,2025-04-05,类型混合
36,异常-036,360,,,
37,异常-037,370,华南,2025-04-07,
38,异常-038,380,华北,2025-04-08,
39,异常-039,390,西南,2025-04-09,
40,异常-040,,,2025-04-10,
